progreso,ritmo,tipo
78,6.75259070391,3
78,6.98805622346,3
78,6.8958607234,3
78,6.50145773361,3
79,5.97823302488,3
79,6.15783917649,3
79,5.42944528404,3
79,5.56948696376,3
79,4.85077081736,3
79,5.19342251979,3
79,6.41246185141,3
79,7.72680067266,3
79,8.14516980295,3
79,8.52581320318,3
80,7.09281760794,3
80,6.67511552455,3
80,5.17966652156,3
80,4.04246568718,3
80,4.96060817125,3
80,4.06681772266,3
80,4.70526164632,3
80,5.26204901856,3
80,5.59420924977,3
81,5.97392487823,3
81,5.74267780652,3
81,6.17037696245,3
81,5.25635941762,3
81,5.18814960413,3
81,8.56106775632,3
81,7.87179395487,3
81,5.36214393517,3
81,5.67675791908,3
82,6.07084450843,3
82,6.50015298566,3
82,5.98112078118,3
82,6.00636684574,3
82,8.95312852823,3
82,9.03874165013,3
82,8.79390340976,3
82,6.57723018332,3
82,7.16471917589,3
82,7.41880637548,3
83,7.68169453101,3
83,3.95442616314,3
83,5.1495900189,3
83,5.59520548785,3
83,5.42322770329,3
83,5.16260363348,3
83,5.18163180755,3
83,5.96666854245,3
84,6.32288797179,3
84,8.01490062064,3
84,8.43984266331,3
84,6.0296550844,3
84,5.40987430611,3
84,6.21226772817,3
84,5.4081844897,3
84,6.38031445898,3
84,5.51792181063,3
84,4.96627343372,3
85,5.00918444022,3
85,5.04621714001,3
85,6.53909574075,3
85,5.29856397451,3
85,5.47995972868,3
85,5.8175041073,3
85,6.29637505221,3
85,6.12985310542,3
85,5.80564784816,3
86,5.43359225175,3
86,5.40836652827,3
86,5.25781924787,3
86,5.36266080831,3
86,5.01774777252,3
86,5.0706646101,3
86,6.03757581451,3
86,7.79108226965,3
86,5.96310481152,3
86,5.46504413602,3
87,5.1875667605,3
87,4.42614530948,3
87,5.52129624591,3
87,5.85401639257,3
87,6.64963202563,3
87,6.4556453685,3
